;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;ALARMS
 
;Analog Alarms
;Analog A,Tagname,HandshakeTagName,HandshakeAutoReset,Acktagname,AckAutoreset,Deadbandvalue,DeadbandType,Outofalarmlabel,AlarmIdentification,Ack File Msg,Ack Printer Message, Ack Message Source,Out of Alm file msg,Out of Alm printer msg,Out of Alm Message Source ,Thresh1 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh2 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh3 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh4 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh5 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh6 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh7 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh8 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,
 
;Digital Alarms
;Digital D,Tagname,type,Label,Severity,Message Source,File msg,Printer msg,Out of alm msg source,Out Of alm File msg,Out of alm Printer msg,Ack msg source,Ack File msg,Ack Printer msg,Alarm Identify,Out of alm label,Ack Tag Name,Ack Auto Reset,Handshake Tag Name,Handshake Auto Reset
"D","AguaQuente\Mot\BB3326_ALR","ON","BB3326","1","S","","","S","","","S","","","","","","N","","N"
"D","AguaQuente\Mot\BB3326_TE","OFF","BB3326","1","S","","","S","","","S","","","","","","N","","N"
"D","AguaQuente\Valv\XV3328A_ALR","ON","XV3328A","1","S","","","S","","","S","","","","","","N","","N"
"D","AguaQuente\Valv\XV3328B_ALR","ON","XV3328B","1","S","","","S","","","S","","","","","","N","","N"
"D","AguaQuente\Valv\XV3328C_ALR","ON","XV3328C","1","S","","","S","","","S","","","","","","N","","N"
"D","AguaQuente\Valv\XV3328D_ALR","ON","XV3328D","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7108_ALR","ON","BB7108","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7108_TE","OFF","BB7108","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7109_ALR","ON","BB7109","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7109_TE","OFF","BB7109","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7110_ALR","ON","BB7110","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7110_TE","OFF","BB7110","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7111_ALR","ON","BB7111","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7111_TE","OFF","BB7111","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7112_ALR","ON","BB7112","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7112_TE","OFF","BB7112","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7113_ALR","ON","BB7113","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Mot\BB7113_TE","OFF","BB7113","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7114_ALR","ON","BB7114","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7114_TE","OFF","BB7114","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7115_ALR","ON","BB7115","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7115_TE","OFF","BB7115","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7116_ALR","ON","BB7116","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7116_TE","OFF","BB7116","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7118_ALR","ON","BB7118","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7118_TE","OFF","BB7118","1","U","","","U","","","U","","","","","","N","","N"
"D","Cip1\Mot\BB7119_ALR","ON","BB7119","1","U","","","U","","","U","","","","","","N","","N"
